rollno,register_sem,schedule_sem,course_code
1401MC57,4,4,HS202
1401MC57,4,4,CS244
1401MC57,4,4,MA216
1401MC57,4,4,MA218
1401MC57,4,4,MA220
1401MC57,4,4,MA225
1401MC57,4,4,MA227
1401MC40,4,4,CS244
1401MC40,4,4,MA216
1401MC40,4,4,MA218
1401MC40,4,4,MA220
1401MC40,4,4,MA225
1401MC40,4,4,MA227
1301EE87,6,6,EE305
1301EE87,6,6,EE309
1301EE87,6,6,EE311
1301EE87,6,6,EE320
1301EE87,6,6,EE321
1301EE87,6,6,EE341
1301EE87,6,6,EE382
1401MC28,4,4,CS244
1401MC28,4,4,MA216
1401MC28,4,4,MA218
1401MC28,4,4,MA220
1401MC28,4,4,MA225
1401MC28,4,4,MA227
1201EE72,8,8,EE528
1201EE72,8,8,EE496
1301EE05,6,6,EE305
1301EE05,6,6,EE309
1301EE05,6,6,EE311
1301EE05,6,6,EE320
1301EE05,6,6,EE321
1301EE05,6,6,EE341
1301EE05,6,6,EE382
1401MC47,4,4,CS244
1401MC47,4,4,MA216
1401MC47,4,4,MA218
1401MC47,4,4,MA220
1401MC47,4,4,MA225
1401MC47,4,4,MA227
1401MC41,4,4,HS202
1401MC41,4,4,CS244
1401MC41,4,4,MA216
1401MC41,4,4,MA218
1401MC41,4,4,MA220
1401MC41,4,4,MA225
1401MC41,4,4,MA227
1411CS04,4,4,CS696
1411MT01,4,4,MH604
1201EE56,8,8,EE528
1201EE56,8,8,EE496
1401ME30,4,4,HS202
1401ME30,4,4,CS244
1401ME30,4,4,ME208
1401ME30,4,4,ME214
1401ME30,4,4,ME216
1401ME30,4,4,ME292
1401MC29,4,4,HS202
1401MC29,4,4,CS244
1401MC29,4,4,MA216
1401MC29,4,4,MA218
1401MC29,4,4,MA220
1401MC29,4,4,MA225
1401MC29,4,4,MA227
1401MC19,4,4,HS202
1401MC19,4,4,CS244
1401MC19,4,4,MA216
1401MC19,4,4,MA218
1401MC19,4,4,MA220
1401MC19,4,4,MA225
1401MC19,4,4,MA227
1401MC36,4,4,HS202
1401MC36,4,4,CS244
1401MC36,4,4,MA216
1401MC36,4,4,MA218
1401MC36,4,4,MA220
1401MC36,4,4,MA225
1401MC36,4,4,MA227
1401CS34,4,4,HS202
1401MC23,4,4,CS244
1401MC23,4,4,MA216
1401MC23,4,4,MA218
1401MC23,4,4,MA220
1401MC23,4,4,MA225
1401MC23,4,4,MA227
1201MM06,8,8,MM510
1201MM06,8,8,MM512
1201MM06,8,8,MM432
1401ME15,4,4,HS202
1401ME15,4,4,CS244
1401ME15,4,4,ME208
1401ME15,4,4,ME214
1401ME15,4,4,ME216
1401ME15,4,4,ME292
1412MA22,4,4,MA541
1412MA22,4,4,MA504
1412MA22,4,4,MA533
1412MA22,4,4,MA522
1412MA22,4,4,MA524
1412MA22,4,4,MA592
1401CB54,4,4,HS202
1401CB54,4,4,CS244
1401CB54,4,4,CB202
1401CB54,4,4,CB204
1401CB54,4,4,CB206
1401CB54,4,4,CB208
1401CB54,4,4,CB210
1301EE63,6,6,HS302
1301EE63,6,6,EE305
1301EE63,6,6,EE309
1301EE63,6,6,EE311
1301EE63,6,6,EE320
1301EE63,6,6,EE321
1301EE63,6,6,EE341
1301EE63,6,6,EE382
1401EE38,4,4,HS202
1401EE38,4,4,CS244
1401EE38,4,4,EE203
1401EE38,4,4,EE204
1401EE38,4,4,EE205
1401EE38,4,4,EE280
1401EE38,4,4,EE281
1401EE38,4,4,MA225
1401CB22,4,4,CS244
1401CB22,4,4,CB202
1401CB22,4,4,CB204
1401CB22,4,4,CB206
1401CB22,4,4,CB208
1401CB22,4,4,CB210
1401MC17,4,4,HS202
1401MC17,4,4,CS244
1401MC17,4,4,MA216
1401MC17,4,4,MA218
1401MC17,4,4,MA220
1401MC17,4,4,MA225
1401MC17,4,4,MA227
1401MC02,4,4,HS202
1401MC02,4,4,CS244
1401MC02,4,4,MA216
1401MC02,4,4,MA218
1401MC02,4,4,MA220
1401MC02,4,4,MA225
1401MC02,4,4,MA227
1401MC33,4,4,HS212
1401MC33,4,4,CS244
1401MC33,4,4,MA216
1401MC33,4,4,MA218
1401MC33,4,4,MA220
1401MC33,4,4,MA225
1401MC33,4,4,MA227
1401CE53,4,4,HS202
1401CE53,4,4,CS244
1401CE53,4,4,CE214
1401CE53,4,4,CE216
1401CE53,4,4,CE218
1401CE53,4,4,CE220
1401CE53,4,4,CE292
1401EE30,4,4,HS202
1401EE30,4,4,CS244
1401EE30,4,4,EE203
1401EE30,4,4,EE204
1401EE30,4,4,EE205
1401EE30,4,4,EE280
1401EE30,4,4,EE281
1401EE30,4,4,MA225
1401MC31,4,4,HS202
1401MC31,4,4,CS244
1401MC31,4,4,MA216
1401MC31,4,4,MA218
1401MC31,4,4,MA220
1401MC31,4,4,MA225
1401MC31,4,4,MA227
1301CS84,6,6,CS372
1301CS84,6,6,CS341
1301CS84,6,6,CS342
1301CS84,6,6,CS358
1301CS84,6,6,CS359
1301CS84,6,6,CS399
1411MC12,4,4,MA604
1401MC16,4,4,HS202
1401MC16,4,4,CS244
1401MC16,4,4,MA216
1401MC16,4,4,MA218
1401MC16,4,4,MA220
1401MC16,4,4,MA225
1401MC16,4,4,MA227
1401MC08,4,4,HS202
1401MC08,4,4,CS244
1401MC08,4,4,MA216
1401MC08,4,4,MA218
1401MC08,4,4,MA220
1401MC08,4,4,MA225
1401MC08,4,4,MA227
1401MC26,4,4,HS202
1401MC26,4,4,CS244
1401MC26,4,4,MA216
1401MC26,4,4,MA218
1401MC26,4,4,MA220
1401MC26,4,4,MA225
1401MC26,4,4,MA227
1301CB46,6,6,CB424
1301CB46,6,6,CB302
1301CB46,6,6,CB304
1301CB46,6,6,CB306
1301CB46,6,6,CB308
1301CB46,6,6,CB310
1401MC22,4,4,HS202
1401MC22,4,4,CS244
1401MC22,4,4,MA216
1401MC22,4,4,MA218
1401MC22,4,4,MA220
1401MC22,4,4,MA225
1401MC22,4,4,MA227
1401MC21,4,4,HS202
1401MC21,4,4,CS244
1401MC21,4,4,MA216
1401MC21,4,4,MA218
1401MC21,4,4,MA220
1401MC21,4,4,MA225
1401MC21,4,4,MA227
1301CS56,6,6,CS372
1301CS56,6,6,HS331
1301CS56,6,6,CS341
1301CS56,6,6,CS342
1301CS56,6,6,CS358
1301CS56,6,6,CS359
1301CS56,6,6,CS399
1401CE24,4,4,CS244
1401CE24,4,4,CE214
1401CE24,4,4,CE216
1401CE24,4,4,CE218
1401CE24,4,4,CE220
1401CE24,4,4,CE292
1401MC01,4,4,CS244
1401MC01,4,4,MA216
1401MC01,4,4,MA218
1401MC01,4,4,MA220
1401MC01,4,4,MA225
1401MC01,4,4,MA227
1401MC18,4,4,HS202
1401MC18,4,4,CS244
1401MC18,4,4,MA216
1401MC18,4,4,MA218
1401MC18,4,4,MA220
1401MC18,4,4,MA225
1401MC18,4,4,MA227
1401MC37,4,4,HS202
1401MC37,4,4,CS244
1401MC37,4,4,MA216
1401MC37,4,4,MA218
1401MC37,4,4,MA220
1401MC37,4,4,MA225
1401MC37,4,4,MA227
1201MM22,8,8,MM510
1201MM22,8,8,MM512
1201MM22,8,8,MM432
1401EE75,4,4,HS212
1401EE75,4,4,CS244
1401EE75,4,4,EE203
1401EE75,4,4,EE204
1401EE75,4,4,EE205
1401EE75,4,4,EE280
1401EE75,4,4,EE281
1401EE75,4,4,MA225
1401ME43,4,4,HS202
1401ME43,4,4,CS244
1401ME43,4,4,ME208
1401ME43,4,4,ME214
1401ME43,4,4,ME216
1401ME43,4,4,ME292
1401EE58,4,4,HS202
1401EE58,4,4,CS244
1401EE58,4,4,EE203
1401EE58,4,4,EE204
1401EE58,4,4,EE205
1401EE58,4,4,EE280
1401EE58,4,4,EE281
1401EE58,4,4,MA225
1401MC34,4,4,HS202
1401MC34,4,4,CS244
1401MC34,4,4,MA216
1401MC34,4,4,MA218
1401MC34,4,4,MA220
1401MC34,4,4,MA225
1401MC34,4,4,MA227
1401EE97,4,4,HS202
1401EE97,4,4,CS244
1401EE97,4,4,EE203
1401EE97,4,4,EE204
1401EE97,4,4,EE205
1401EE97,4,4,EE280
1401EE97,4,4,EE281
1401EE97,4,4,MA225
1401MC35,4,4,HS202
1401MC35,4,4,CS244
1401MC35,4,4,MA216
1401MC35,4,4,MA218
1401MC35,4,4,MA220
1401MC35,4,4,MA225
1401MC35,4,4,MA227
1401MC46,4,4,HS202
1401MC46,4,4,CS244
1401MC46,4,4,MA216
1401MC46,4,4,MA218
1401MC46,4,4,MA220
1401MC46,4,4,MA225
